,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
233,sparrow - 3,0.9273204903677759,0.9360146252285192,0.9142857142857143,0.9250225835591689
234,squid - 1,0.95,0.9240506329113924,0.9714828897338403,0.9471733086190918
235,squid - 2,0.8991228070175439,0.9565217391304348,0.8309352517985612,0.8893166506256016
236,squid - 3,0.9438103599648815,0.9523809523809523,0.931899641577061,0.9420289855072463
237,squirrel - 1,0.9240837696335078,0.8912655971479501,0.9505703422053232,0.9199632014719411
238,squirrel - 2,0.8743455497382199,0.9363449691991786,0.8014059753954306,0.8636363636363635
239,squirrel - 3,0.8925764192139738,0.8405572755417957,0.9644760213143873,0.8982630272952853
240,starfish - 1,0.9581151832460733,0.9237588652482269,0.9904942965779467,0.9559633027522936
241,starfish - 2,0.9397905759162304,0.9612546125461254,0.9156414762741653,0.937893789378938
242,starfish - 3,0.8890829694323145,0.8323170731707317,0.9698046181172292,0.8958162428219854
243,swan - 1,0.8723776223776224,0.7975460122699386,0.9737827715355806,0.8768971332209106
244,swan - 2,0.9554195804195804,0.9289340101522843,0.9838709677419355,0.9556135770234987
245,swan - 3,0.9536713286713286,0.9305084745762712,0.9786096256684492,0.9539530842745438
246,tiger - 1,0.6097560975609756,1.0,0.16728624535315986,0.2866242038216561
247,tiger - 2,0.6931124673060157,0.9905660377358491,0.375,0.5440414507772021
248,tiger - 3,0.9503051438535309,0.9096774193548387,0.9982300884955753,0.9518987341772153
249,turkey - 1,0.9038461538461539,0.83125,0.9962546816479401,0.9063032367972742
250,turkey - 2,0.9423076923076923,0.948905109489051,0.931899641577061,0.9403254972875227
251,turkey - 3,0.9151356080489939,0.8567026194144838,0.9928571428571429,0.9197684036393714
252,turtle - 1,0.9449781659388646,0.9553398058252427,0.924812030075188,0.9398280802292264
253,turtle - 2,0.9240174672489083,0.8991596638655462,0.9519572953736655,0.9248055315471045
254,turtle - 3,0.9362445414847161,0.9327433628318584,0.9377224199288257,0.935226264418811
255,whale - 1,0.9411764705882353,0.9489194499017681,0.9217557251908397,0.9351403678606002
256,whale - 2,0.9596136962247586,0.9553571428571429,0.9622302158273381,0.9587813620071686
257,whale - 3,0.9622475856014048,0.9432013769363167,0.982078853046595,0.9622475856014048
258,wolf - 1,0.8856640281442393,0.952914798206278,0.795880149812734,0.8673469387755102
259,wolf - 2,0.8891820580474934,0.8478260869565217,0.9354243542435424,0.8894736842105263
260,wolf - 3,0.9155672823218998,0.9323308270676691,0.8920863309352518,0.9117647058823529
261,wombat - 1,0.9343257443082311,0.88107202680067,0.9924528301886792,0.9334516415261757
262,wombat - 2,0.8712784588441331,0.7908961593172119,1.0,0.8832406671961874
263,wombat - 3,0.7642418930762489,0.9145299145299145,0.5732142857142857,0.7047200878155873
264,woodpecker - 1,0.9790209790209791,0.9722222222222222,0.9831460674157303,0.9776536312849161
265,woodpecker - 2,0.9335664335664335,0.8849840255591054,0.992831541218638,0.9358108108108107
266,woodpecker - 3,0.8608923884514436,0.9567198177676538,0.75,0.840840840840841
267,zebra - 1,0.9869109947643979,0.9829867674858223,0.9885931558935361,0.9857819905213269
268,zebra - 2,0.9703315881326352,0.9450915141430949,0.9982425307557118,0.970940170940171
269,zebra - 3,0.8576419213973799,0.7754820936639119,1.0,0.873545384018619
